ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.725,600,0,4.83E-25
0.725,9000,50,3.45E-17
0.725,30000,20,9.37E-18
0.725,27500,90,5.07E-18
0.725,200,70,8.22E-20
0.725,1500,0,1.88E-20
0.725,300,30,7.17E-26
0.725,8000,10,2.20E-20
0.725,1800,40,3.30E-19
0.725,2000,50,1.14E-18
0.725,400,40,2.15E-23
0.725,15000,30,1.48E-16
0.725,1400,50,5.87E-19
0.725,25000,90,8.78E-18
0.725,1500,10,1.99E-20
0.725,6000,20,3.01E-20
0.725,1000,90,3.77E-19
0.725,800,50,2.14E-19
0.725,900,10,6.68E-23
0.725,1200,60,6.94E-19
0.725,7000,60,1.36E-17
0.725,1300,20,8.24E-21
0.725,17500,30,9.42E-17
0.725,35800,90,6.55E-19
0.725,400,10,1.18E-25
0.725,2500,80,1.53E-18
0.725,12500,50,8.90E-17
0.725,500,50,9.09E-20
0.725,15000,60,7.51E-17
0.725,1800,10,6.76E-20
0.725,8000,40,2.68E-17
0.725,1900,50,1.05E-18
0.725,200,20,6.18E-26
0.725,300,60,1.07E-19
0.725,3000,40,1.63E-18
0.725,30000,70,3.05E-18
0.725,10000,50,4.45E-17
0.725,17500,60,4.77E-17
0.725,7000,30,1.13E-17
0.725,1200,30,6.08E-21
0.725,1300,70,7.67E-19
0.725,6000,0,2.49E-20
0.725,900,40,5.53E-21
0.725,1100,80,4.61E-19
0.725,200,0,0
0.725,6000,70,7.78E-18
0.725,1100,0,6.93E-22
0.725,1500,40,1.43E-19
0.725,1000,70,5.41E-19
0.725,1100,30,3.83E-21
0.725,25000,70,9.40E-18
0.725,22500,40,2.53E-17
0.725,1600,40,1.93E-19
0.725,500,0,2.94E-25
0.725,7000,80,1.00E-17
0.725,1200,80,5.19E-19
0.725,1600,0,3.18E-20
0.725,5000,0,1.17E-19
0.725,200,90,5.86E-20
0.725,4000,40,3.22E-18
0.725,600,50,1.27E-19
0.725,27500,70,5.42E-18
0.725,20000,40,4.24E-17
0.725,700,10,8.41E-25
0.725,35800,20,2.21E-18
0.725,2500,30,1.42E-19
0.725,27500,0,2.33E-17
0.725,1300,90,5.46E-19
0.725,1600,10,3.24E-20
0.725,17500,80,4.13E-17
0.725,20000,0,1.03E-16
0.725,1700,50,8.27E-19
0.725,22500,10,5.92E-17
0.725,25000,20,2.83E-17
0.725,6000,90,6.78E-18
0.725,1000,20,1.11E-21
0.725,1100,60,6.09E-19
0.725,2500,0,2.88E-19
0.725,2500,60,2.39E-18
0.725,1200,0,2.00E-21
0.725,5000,50,7.68E-18
0.725,35800,70,6.90E-19
0.725,15000,80,6.47E-17
0.725,8000,0,7.88E-23
0.725,20000,10,9.55E-17
0.725,700,40,9.45E-22
0.725,30000,90,2.85E-18
0.725,27500,20,1.65E-17
0.725,300,80,8.35E-20
0.725,4000,10,2.57E-19
0.725,500,40,8.13E-23
0.725,15000,70,6.83E-17
0.725,12500,40,1.15E-16
0.725,2500,90,1.48E-18
0.725,35800,80,6.61E-19
0.725,2000,10,1.19E-19
0.725,1900,40,4.00E-19
0.725,8000,50,2.62E-17
0.725,900,0,1.99E-24
0.725,300,70,1.06E-19
0.725,200,30,2.22E-26
0.725,9000,10,8.89E-19
0.725,30000,60,3.33E-18
0.725,3000,50,2.41E-18
0.725,17500,70,4.35E-17
0.725,10000,40,5.96E-17
0.725,1300,60,8.22E-19
0.725,1200,20,4.54E-21
0.725,7000,20,6.40E-19
0.725,1100,90,4.34E-19
0.725,900,50,2.62E-19
0.725,800,10,1.47E-24
0.725,1500,50,6.58E-19
0.725,6000,60,1.00E-17
0.725,1400,10,1.09E-20
0.725,30000,30,6.59E-18
0.725,27500,80,5.15E-18
0.725,9000,40,4.31E-17
0.725,300,20,1.46E-25
0.725,200,60,7.88E-20
0.725,1900,10,9.18E-20
0.725,2000,40,4.77E-19
0.725,1800,50,9.36E-19
0.725,12500,10,1.68E-16
0.725,15000,20,1.93E-16
0.725,500,10,2.35E-25
0.725,400,50,5.85E-20
0.725,6000,30,5.13E-18
0.725,25000,80,8.93E-18
0.725,1400,40,1.04E-19
0.725,7000,0,5.24E-21
0.725,800,40,2.32E-21
0.725,1000,80,4.04E-19
0.725,1300,30,9.39E-21
0.725,7000,70,1.10E-17
0.725,1200,70,6.91E-19
0.725,10000,10,9.16E-18
0.725,17500,20,1.25E-16
0.675,4000,80,6.62E-18
0.675,300,10,5.52E-24
0.675,200,50,5.03E-20
0.675,9000,70,4.41E-17
0.675,20000,80,5.80E-17
0.675,600,90,3.68E-19
0.675,3000,30,6.94E-19
0.675,12500,20,3.10E-16
0.675,15000,10,4.55E-16
0.675,500,20,5.80E-23
0.675,400,60,2.82E-19
0.675,1900,20,3.52E-19
0.675,2000,70,2.96E-18
0.675,1800,60,2.85E-18
0.675,8000,30,4.00E-17
0.675,900,30,6.48E-21
0.675,800,70,8.22E-19
0.675,1500,30,9.43E-20
0.675,17500,0,3.57E-16
0.675,22500,80,3.59E-17
0.675,1400,70,1.80E-18
0.675,1000,0,6.48E-22
0.675,10000,20,7.56E-17
0.675,1600,80,1.65E-18
0.675,17500,10,3.33E-16
0.675,300,0,0
0.675,7000,40,3.11E-17
0.675,1200,40,9.26E-20
0.675,2000,20,4.47E-19
0.675,1900,70,2.72E-18
0.675,1400,0,4.75E-20
0.675,8000,60,3.78E-17
0.675,1800,30,2.23E-19
0.675,500,70,3.96E-19
0.675,15000,40,2.30E-16
0.675,12500,70,1.29E-16
0.675,400,30,3.02E-23
0.675,700,0,1.09E-22
0.675,5000,90,9.27E-18
0.675,700,80,5.09E-19
0.675,9000,20,3.46E-17
0.675,30000,50,9.20E-18
0.675,10000,0,3.63E-18
0.675,3000,60,6.74E-18
0.675,300,40,5.36E-23
0.675,1300,50,1.08E-18
0.675,1200,10,1.21E-20
0.675,7000,10,1.63E-20
0.675,1700,90,1.71E-18
0.675,17500,40,1.56E-16
0.675,10000,70,5.98E-17
0.675,1500,60,2.10E-18
0.675,6000,50,2.54E-17
0.675,1400,20,6.30E-20
0.675,900,60,8.97E-19
0.675,800,20,7.36E-22
0.675,1600,20,1.43E-19
0.675,10000,80,5.58E-17
0.675,1700,60,2.60E-18
0.675,1000,10,1.83E-21
0.675,1100,50,7.84E-19
0.675,900,90,6.72E-19
0.675,22500,20,1.12E-16
0.675,25000,10,8.62E-17
0.675,35800,0,8.67E-18
0.675,1500,90,1.41E-18
0.675,2500,50,3.70E-18
0.675,35800,40,2.42E-18
0.675,5000,60,1.49E-17
0.675,500,80,3.09E-19
0.675,12500,80,1.22E-16
0.675,8000,90,2.82E-17
0.675,1900,80,2.15E-18
0.675,4000,20,6.92E-19
0.675,3000,90,4.11E-18
0.675,600,30,5.34E-22
0.675,700,70,6.80E-19
0.675,20000,20,1.78E-16
0.675,27500,10,5.11E-17
0.675,25000,40,3.58E-17
0.675,22500,70,3.78E-17
0.675,1400,80,1.36E-18
0.675,3000,0,1.66E-18
0.675,800,80,6.15E-19
0.675,1000,40,2.70E-20
0.675,1600,70,2.15E-18
0.675,1700,30,1.72E-19
0.675,1800,0,2.99E-19
0.675,600,60,4.96E-19
0.675,27500,40,2.05E-17
0.675,9000,80,4.08E-17
0.675,700,20,1.68E-22
0.675,20000,70,6.11E-17
0.675,4000,70,7.68E-18
0.675,1800,90,1.88E-18
0.675,2000,80,2.33E-18
0.675,5000,30,2.40E-18
0.675,35800,10,7.55E-18
0.675,400,90,2.16E-19
0.675,22500,0,1.52E-16
0.675,1800,20,2.70E-19
0.675,8000,70,3.14E-17
0.675,1900,60,3.14E-18
0.675,2000,30,3.42E-19
0.675,5000,80,9.64E-18
0.675,400,20,3.85E-23
0.675,12500,60,1.43E-16
0.675,500,60,3.79E-19
0.675,15000,50,1.81E-16
0.675,3000,70,5.14E-18
0.675,30000,40,1.14E-17
0.675,9000,30,6.67E-17
0.675,700,90,4.65E-19
0.675,200,10,0
0.675,300,50,7.76E-20
0.675,1300,40,1.46E-19
0.675,10000,60,6.85E-17
0.675,17500,50,1.23E-16
0.675,1700,80,1.81E-18
0.675,1400,30,6.47E-20
0.675,6000,40,1.89E-17
0.675,1500,70,1.98E-18
0.675,800,30,3.29E-21
0.675,900,70,9.69E-19
0.675,200,40,7.34E-24
0.675,800,0,2.08E-22
0.675,4000,90,6.35E-18
0.675,3000,20,1.04E-18
0.675,600,80,3.97E-19
0.675,20000,90,5.70E-17
0.675,9000,60,5.14E-17
0.675,30000,10,2.93E-17
0.675,400,70,2.92E-19
0.675,500,30,1.09E-22
0.675,12500,30,2.82E-16
0.675,8000,20,9.92E-18
0.675,1800,70,2.52E-18
0.675,2000,60,3.45E-18
0.675,1900,30,2.79E-19
0.675,800,60,7.36E-19
0.675,900,20,2.34E-21
0.675,1400,60,1.87E-18
0.675,22500,90,3.53E-17
0.675,1500,20,9.73E-20
0.675,6000,10,8.49E-20
0.675,1600,90,1.56E-18
0.675,10000,30,1.07E-16
0.675,1200,50,9.66E-19
0.675,25000,0,9.40E-17
0.675,7000,50,3.74E-17
0.675,1300,10,2.71E-20
0.675,1400,90,1.27E-18
0.675,22500,60,4.14E-17
0.675,25000,50,2.86E-17
0.675,1100,10,4.30E-21
0.675,1000,50,6.47E-19
0.675,800,90,5.68E-19
0.675,1700,20,1.99E-19
0.675,1600,60,2.34E-18
0.675,700,30,1.40E-21
0.675,20000,60,6.70E-17
0.675,9000,90,3.99E-17
0.675,27500,50,1.64E-17
0.675,1300,0,2.21E-20
0.675,600,70,5.26E-19
0.675,4000,60,1.07E-17
0.675,2000,90,2.21E-18
0.675,1800,80,1.98E-18
0.675,2500,10,1.11E-18
0.675,400,80,2.33E-19
0.675,5000,20,2.55E-19
0.675,1700,70,2.33E-18
0.675,10000,90,5.46E-17
0.675,1600,30,1.29E-19
0.675,900,80,7.21E-19
0.675,1700,0,2.12E-19
0.675,1100,40,5.32E-20
0.675,400,0,0
0.675,1500,80,1.50E-18
0.675,22500,30,8.22E-17
0.675,2000,0,5.20E-19
0.675,12500,90,1.20E-16
0.675,500,90,2.87E-19
0.675,5000,70,1.10E-17
0.675,35800,50,2.00E-18
0.675,2500,40,2.16E-18
0.675,1900,90,2.05E-18
0.675,8000,80,2.90E-17
0.675,4000,30,5.87E-19
0.675,700,60,6.15E-19
0.675,20000,30,1.33E-16
0.675,600,20,8.70E-23
0.675,3000,80,4.30E-18
0.675,1300,80,1.21E-18
0.675,4000,0,1.13E-18
0.675,1700,40,5.34E-19
0.675,17500,90,8.99E-17
0.675,6000,80,1.40E-17
0.675,1900,0,3.98E-19
0.675,25000,30,4.92E-17
0.675,12500,0,2.78E-16
0.675,1100,70,1.27E-18
0.675,1000,30,1.06E-20
0.675,15000,90,1.31E-16
0.675,35800,60,1.76E-18
0.675,5000,40,1.13E-17
0.675,2500,70,4.03E-18
0.675,30000,80,6.96E-18
0.675,27500,30,2.83E-17
0.675,700,50,3.42E-19
0.675,600,10,6.71E-23
0.675,300,90,1.59E-19
0.675,1100,20,1.11E-20
0.675,30000,0,3.23E-17
0.675,1000,60,1.06E-18
0.675,22500,50,4.79E-17
0.675,25000,60,2.48E-17
0.675,1700,10,2.12E-19
0.675,1600,50,1.53E-18
0.675,1200,90,1.02E-18
0.675,7000,90,1.94E-17
0.675,15000,0,4.82E-16
0.675,4000,50,8.84E-18
0.675,200,80,1.30E-19
0.675,20000,50,7.77E-17
0.675,27500,60,1.43E-17
0.675,9000,0,6.28E-20
0.675,600,40,1.50E-21
0.675,2500,20,8.70E-19
0.675,5000,10,3.75E-19
0.675,35800,30,3.32E-18
0.675,3000,10,1.41E-18
0.675,600,0,7.70E-23
0.675,9000,50,6.84E-17
0.675,30000,20,2.25E-17
0.675,27500,90,1.22E-17
0.675,200,70,1.68E-19
0.675,1500,0,8.58E-20
0.675,300,30,1.14E-23
0.675,8000,10,7.29E-20
0.675,1800,40,7.01E-19
0.675,2000,50,2.39E-18
0.675,400,40,1.96E-22
0.675,15000,30,3.06E-16
0.675,1400,50,1.21E-18
0.675,25000,90,2.11E-17
0.675,1500,10,9.20E-20
0.675,6000,20,9.63E-20
0.675,1000,90,7.78E-19
0.675,800,50,4.31E-19
0.675,900,10,6.08E-22
0.675,1200,60,1.41E-18
0.675,7000,60,2.72E-17
0.675,1300,20,3.85E-20
0.675,17500,30,2.09E-16
0.675,35800,90,1.53E-18
0.675,400,10,1.88E-23
0.675,2500,80,3.27E-18
0.675,12500,50,1.71E-16
0.675,500,50,1.80E-19
0.675,15000,60,1.55E-16
0.675,1800,10,2.97E-19
0.675,8000,40,5.22E-17
0.675,1900,50,2.20E-18
0.675,200,20,9.85E-24
0.675,300,60,2.16E-19
0.675,3000,40,3.44E-18
0.675,30000,70,7.32E-18
0.675,10000,50,8.79E-17
0.675,17500,60,1.06E-16
0.675,7000,30,2.14E-17
0.675,1200,30,2.75E-20
0.675,1300,70,1.59E-18
0.675,6000,0,9.58E-20
0.675,900,40,1.40E-20
0.675,1100,80,9.52E-19
0.675,200,0,0
0.675,6000,70,1.56E-17
0.675,1100,0,3.50E-21
0.675,1500,40,3.00E-19
0.675,1000,70,1.11E-18
0.675,1100,30,1.75E-20
0.675,25000,70,2.26E-17
0.675,22500,40,6.01E-17
0.675,1600,40,4.07E-19
0.675,500,0,4.68E-23
0.675,7000,80,2.00E-17
0.675,1200,80,1.08E-18
0.675,1600,0,1.41E-19
0.675,5000,0,4.31E-19
0.675,200,90,1.20E-19
0.675,4000,40,6.50E-18
0.675,600,50,2.54E-19
0.675,27500,70,1.31E-17
0.675,20000,40,9.80E-17
0.675,700,10,1.34E-22
0.675,35800,20,5.17E-18
0.675,2500,30,6.05E-19
0.675,27500,0,5.62E-17
0.675,1300,90,1.13E-18
0.675,1600,10,1.45E-19
0.675,17500,80,9.15E-17
0.675,20000,0,2.34E-16
0.675,1700,50,1.72E-18
0.675,22500,10,1.40E-16
0.675,25000,20,6.81E-17
0.675,6000,90,1.36E-17
0.675,1000,20,5.52E-21
0.675,1100,60,1.23E-18
0.675,2500,0,1.22E-18
0.675,2500,60,5.00E-18
0.675,1200,0,9.60E-21
0.675,5000,50,1.52E-17
0.675,35800,70,1.62E-18
0.675,15000,80,1.33E-16
0.675,8000,0,1.15E-21
0.675,20000,10,2.18E-16
0.675,700,40,3.44E-21
0.675,30000,90,6.84E-18
0.675,27500,20,3.98E-17
0.675,300,80,1.72E-19
0.675,4000,10,9.80E-19
0.675,500,40,5.19E-22
0.675,15000,70,1.41E-16
0.675,12500,40,2.22E-16
0.675,2500,90,3.15E-18
0.675,35800,80,1.55E-18
0.675,2000,10,5.15E-19
0.675,1900,40,8.56E-19
0.675,8000,50,5.19E-17
0.675,900,0,3.17E-22
0.675,300,70,2.16E-19
0.675,200,30,3.53E-24
0.675,9000,10,2.02E-18
0.675,30000,60,8.00E-18
0.675,3000,50,5.05E-18
0.675,17500,70,9.64E-17
0.675,10000,40,1.16E-16
0.675,1300,60,1.67E-18
0.675,1200,20,2.17E-20
0.675,7000,20,1.29E-18
0.675,1100,90,8.95E-19
0.675,900,50,5.31E-19
0.675,800,10,2.34E-22
0.675,1500,50,1.36E-18
0.675,6000,60,2.02E-17
0.675,1400,10,5.22E-20
0.675,30000,30,1.58E-17
0.675,27500,80,1.24E-17
0.675,9000,40,8.29E-17
0.675,300,20,2.32E-23
0.675,200,60,1.60E-19
0.675,1900,10,4.00E-19
0.675,2000,40,1.03E-18
0.675,1800,50,1.96E-18
0.675,12500,10,3.00E-16
0.675,15000,20,3.91E-16
0.675,500,10,3.75E-23
0.675,400,50,1.15E-19
0.675,6000,30,9.52E-18
0.675,25000,80,2.15E-17
0.675,1400,40,2.16E-19
0.675,7000,0,1.92E-20
0.675,800,40,6.86E-21
0.675,1000,80,8.34E-19
0.675,1300,30,4.26E-20
0.675,7000,70,2.20E-17
0.675,1200,70,1.43E-18
0.675,10000,10,1.82E-17
0.675,17500,20,2.76E-16
0.2,4000,80,6.34E-15
0.2,300,10,3.48E-21
0.2,200,50,1.42E-17
0.2,9000,70,1.73E-14
0.2,20000,80,4.83E-14
0.2,600,90,1.70E-16
0.2,3000,30,1.39E-14
0.2,12500,20,8.00E-14
0.2,15000,10,1.31E-13
0.2,500,20,1.13E-19
0.2,400,60,1.11E-16
0.2,1900,20,5.36E-15
0.2,2000,70,3.72E-15
0.2,1800,60,2.74E-15
0.2,8000,30,1.34E-14
0.2,900,30,8.93E-17
0.2,800,70,3.80E-16
0.2,1500,30,1.40E-15
0.2,17500,0,1.75E-13
0.2,22500,80,3.50E-14
0.2,1400,70,1.19E-15
0.2,1000,0,6.18E-18
0.2,10000,20,2.50E-14
0.2,1600,80,1.50E-15
0.2,17500,10,1.73E-13
0.2,300,0,0
0.2,7000,40,1.20E-14
0.2,1200,40,3.70E-16
0.2,2000,20,6.99E-15
0.2,1900,70,3.14E-15
0.2,1400,0,4.51E-16
0.2,8000,60,1.56E-14
0.2,1800,30,3.53E-15
0.2,500,70,1.70E-16
0.2,15000,40,9.63E-14
0.2,12500,70,4.18E-14
0.2,400,30,5.17E-19
0.2,700,0,2.14E-19
0.2,5000,90,4.95E-15
0.2,700,80,2.41E-16
0.2,9000,20,1.18E-14
0.2,30000,50,1.10E-14
0.2,10000,0,1.01E-14
0.2,3000,60,9.76E-15
0.2,300,40,1.90E-18
0.2,1300,50,7.87E-16
0.2,1200,10,1.09E-16
0.2,7000,10,6.74E-16
0.2,1700,90,1.78E-15
0.2,17500,40,9.86E-14
0.2,10000,70,2.33E-14
0.2,1500,60,1.46E-15
0.2,6000,50,9.64E-15
0.2,1400,20,8.49E-16
0.2,900,60,4.08E-16
0.2,800,20,7.51E-18
0.2,1600,20,1.98E-15
0.2,10000,80,2.16E-14
0.2,1700,60,2.23E-15
0.2,1000,10,1.00E-17
0.2,1100,50,4.67E-16
0.2,900,90,3.40E-16
0.2,22500,20,1.08E-13
0.2,25000,10,8.98E-14
0.2,35800,0,1.01E-14
0.2,1500,90,1.15E-15
0.2,2500,50,7.86E-15
0.2,35800,40,2.63E-15
0.2,5000,60,7.64E-15
0.2,500,80,1.40E-16
0.2,12500,80,3.93E-14
0.2,8000,90,1.12E-14
0.2,1900,80,2.76E-15
0.2,4000,20,1.25E-14
0.2,3000,90,7.78E-15
0.2,600,30,1.02E-17
0.2,700,70,3.04E-16
0.2,20000,20,1.44E-13
0.2,27500,10,5.77E-14
0.2,25000,40,3.83E-14
0.2,22500,70,3.69E-14
0.2,1400,80,9.76E-16
0.2,3000,0,3.40E-14
0.2,800,80,3.01E-16
0.2,1000,40,1.64E-16
0.2,1600,70,1.77E-15
0.2,1700,30,2.67E-15
0.2,1800,0,3.80E-15
0.2,600,60,2.06E-16
0.2,27500,40,2.35E-14
0.2,9000,80,1.59E-14
0.2,700,20,1.56E-18
0.2,20000,70,5.09E-14
0.2,4000,70,7.07E-15
0.2,1800,90,2.19E-15
0.2,2000,80,3.29E-15
0.2,5000,30,3.11E-15
0.2,35800,10,8.66E-15
0.2,400,90,9.35E-17
0.2,22500,0,1.42E-13
0.2,1800,20,3.97E-15
0.2,8000,70,1.26E-14
0.2,1900,60,3.34E-15
0.2,2000,30,5.70E-15
0.2,5000,80,5.13E-15
0.2,400,20,4.77E-20
0.2,12500,60,4.71E-14
0.2,500,60,1.51E-16
0.2,15000,50,7.43E-14
0.2,3000,70,8.71E-15
0.2,30000,40,1.36E-14
0.2,9000,30,2.35E-14
0.2,700,90,2.19E-16
0.2,200,10,0
0.2,300,50,2.40E-17
0.2,1300,40,5.33E-16
0.2,10000,60,2.72E-14
0.2,17500,50,7.67E-14
0.2,1700,80,1.84E-15
0.2,1400,30,9.59E-16
0.2,6000,40,7.57E-15
0.2,1500,70,1.46E-15
0.2,800,30,4.85E-17
0.2,900,70,4.65E-16
0.2,200,40,3.54E-19
0.2,800,0,5.79E-19
0.2,4000,90,6.16E-15
0.2,3000,20,2.10E-14
0.2,600,80,1.85E-16
0.2,20000,90,4.75E-14
0.2,9000,60,2.07E-14
0.2,30000,10,3.51E-14
0.2,400,70,1.22E-16
0.2,500,30,2.96E-18
0.2,12500,30,8.29E-14
0.2,8000,20,4.57E-15
0.2,1800,70,2.60E-15
0.2,2000,60,3.99E-15
0.2,1900,30,4.54E-15
0.2,800,60,3.26E-16
0.2,900,20,2.56E-17
0.2,1400,60,1.18E-15
0.2,22500,90,3.44E-14
0.2,1500,20,1.32E-15
0.2,6000,10,1.46E-15
0.2,1600,90,1.44E-15
0.2,10000,30,3.75E-14
0.2,1200,50,6.18E-16
0.2,25000,0,9.72E-14
0.2,7000,50,1.42E-14
0.2,1300,10,2.71E-16
0.2,1400,90,9.27E-16
0.2,22500,60,4.05E-14
0.2,25000,50,3.05E-14
0.2,1100,10,3.57E-17
0.2,1000,50,3.56E-16
0.2,800,90,2.76E-16
0.2,1700,20,2.83E-15
0.2,1600,60,1.82E-15
0.2,700,30,2.45E-17
0.2,20000,60,5.60E-14
0.2,9000,90,1.55E-14
0.2,27500,50,1.88E-14
0.2,1300,0,1.99E-16
0.2,600,70,2.32E-16
0.2,4000,60,8.51E-15
0.2,2000,90,3.19E-15
0.2,1800,80,2.26E-15
0.2,2500,10,2.01E-14
0.2,400,80,1.02E-16
0.2,5000,20,4.02E-15
0.2,1700,70,2.14E-15
0.2,10000,90,2.11E-14
0.2,1600,30,1.96E-15
0.2,900,80,3.68E-16
0.2,1700,0,2.53E-15
0.2,1100,40,2.42E-16
0.2,400,0,0
0.2,1500,80,1.21E-15
0.2,22500,30,8.05E-14
0.2,2000,0,7.29E-15
0.2,12500,90,3.85E-14
0.2,500,90,1.28E-16
0.2,5000,70,5.84E-15
0.2,35800,50,2.17E-15
0.2,2500,40,8.51E-15
0.2,1900,90,2.68E-15
0.2,8000,80,1.15E-14
0.2,4000,30,8.00E-15
0.2,700,60,2.62E-16
0.2,20000,30,1.12E-13
0.2,600,20,3.33E-19
0.2,3000,80,7.96E-15
0.2,1300,80,7.95E-16
0.2,4000,0,2.05E-14
0.2,1700,40,1.97E-15
0.2,17500,90,5.50E-14
0.2,6000,80,6.01E-15
0.2,1900,0,5.33E-15
0.2,25000,30,5.27E-14
0.2,12500,0,6.20E-14
0.2,1100,70,6.69E-16
0.2,1000,30,1.52E-16
0.2,15000,90,5.17E-14
0.2,35800,60,1.91E-15
0.2,5000,40,5.92E-15
0.2,2500,70,6.90E-15
0.2,30000,80,8.30E-15
0.2,27500,30,3.25E-14
0.2,700,50,1.50E-16
0.2,600,10,1.35E-19
0.2,300,90,6.68E-17
0.2,1100,20,1.42E-16
0.2,30000,0,3.87E-14
0.2,1000,60,5.05E-16
0.2,22500,50,4.69E-14
0.2,25000,60,2.64E-14
0.2,1700,10,2.75E-15
0.2,1600,50,1.66E-15
0.2,1200,90,6.17E-16
0.2,7000,90,7.96E-15
0.2,15000,0,1.26E-13
0.2,4000,50,8.08E-15
0.2,200,80,5.37E-17
0.2,20000,50,6.52E-14
0.2,27500,60,1.63E-14
0.2,9000,0,2.21E-15
0.2,600,40,2.26E-17
0.2,2500,20,1.60E-14
0.2,5000,10,5.88E-15
0.2,35800,30,3.56E-15
0.2,3000,10,2.83E-14
0.2,600,0,8.92E-20
0.2,9000,50,2.71E-14
0.2,30000,20,2.70E-14
0.2,27500,90,1.39E-14
0.2,200,70,6.74E-17
0.2,1500,0,8.95E-16
0.2,300,30,2.57E-20
0.2,8000,10,1.08E-15
0.2,1800,40,2.59E-15
0.2,2000,50,4.00E-15
0.2,400,40,5.25E-18
0.2,15000,30,1.19E-13
0.2,1400,50,1.01E-15
0.2,25000,90,2.25E-14
0.2,1500,10,1.06E-15
0.2,6000,20,1.17E-15
0.2,1000,90,4.13E-16
0.2,800,50,2.05E-16
0.2,900,10,2.74E-18
0.2,1200,60,7.69E-16
0.2,7000,60,1.17E-14
0.2,1300,20,5.13E-16
0.2,17500,30,1.29E-13
0.2,35800,90,1.67E-15
0.2,400,10,1.67E-20
0.2,2500,80,6.27E-15
0.2,12500,50,5.83E-14
0.2,500,50,6.84E-17
0.2,15000,60,6.19E-14
0.2,1800,10,4.04E-15
0.2,8000,40,1.91E-14
0.2,1900,50,3.31E-15
0.2,200,20,6.14E-21
0.2,300,60,8.30E-17
0.2,3000,40,1.09E-14
0.2,30000,70,8.74E-15
0.2,10000,50,3.54E-14
0.2,17500,60,6.52E-14
0.2,7000,30,6.74E-15
0.2,1200,30,3.97E-16
0.2,1300,70,9.78E-16
0.2,6000,0,1.59E-15
0.2,900,40,1.08E-16
0.2,1100,80,5.35E-16
0.2,200,0,0
0.2,6000,70,6.77E-15
0.2,1100,0,2.34E-17
0.2,1500,40,1.10E-15
0.2,1000,70,5.59E-16
0.2,1100,30,2.47E-16
0.2,25000,70,2.41E-14
0.2,22500,40,5.92E-14
0.2,1600,40,1.48E-15
0.2,500,0,3.31E-20
0.2,7000,80,8.20E-15
0.2,1200,80,6.55E-16
0.2,1600,0,1.56E-15
0.2,5000,0,6.66E-15
0.2,200,90,4.89E-17
0.2,4000,40,7.91E-15
0.2,600,50,1.04E-16
0.2,27500,70,1.49E-14
0.2,20000,40,8.30E-14
0.2,700,10,3.54E-19
0.2,35800,20,5.66E-15
0.2,2500,30,1.13E-14
0.2,27500,0,6.32E-14
0.2,1300,90,7.54E-16
0.2,1600,10,1.78E-15
0.2,17500,80,5.60E-14
0.2,20000,0,1.78E-13
0.2,1700,50,2.11E-15
0.2,22500,10,1.32E-13
0.2,25000,20,7.20E-14
0.2,6000,90,5.80E-15
0.2,1000,20,6.55E-17
0.2,1100,60,6.20E-16
0.2,2500,0,2.14E-14
0.2,2500,60,7.58E-15
0.2,1200,0,7.47E-17
0.2,5000,50,7.15E-15
0.2,35800,70,1.76E-15
0.2,15000,80,5.27E-14
0.2,8000,0,6.24E-16
0.2,20000,10,1.69E-13
0.2,700,40,4.18E-17
0.2,30000,90,8.17E-15
0.2,27500,20,4.53E-14
0.2,300,80,7.33E-17
0.2,4000,10,1.78E-14
0.2,500,40,1.17E-17
0.2,15000,70,5.58E-14
0.2,12500,40,7.42E-14
0.2,2500,90,6.13E-15
0.2,35800,80,1.69E-15
0.2,2000,10,7.67E-15
0.2,1900,40,3.30E-15
0.2,8000,50,2.01E-14
0.2,900,0,1.67E-18
0.2,300,70,8.90E-17
0.2,200,30,3.38E-21
0.2,9000,10,4.14E-15
0.2,30000,60,9.55E-15
0.2,3000,50,1.00E-14
0.2,17500,70,5.91E-14
0.2,10000,40,4.05E-14
0.2,1300,60,9.60E-16
0.2,1200,20,2.83E-16
0.2,7000,20,1.52E-15
0.2,1100,90,5.03E-16
0.2,900,50,2.71E-16
0.2,800,10,8.56E-19
0.2,1500,50,1.30E-15
0.2,6000,60,9.00E-15
0.2,1400,10,5.70E-16
0.2,30000,30,1.89E-14
0.2,27500,80,1.42E-14
0.2,9000,40,2.87E-14
0.2,300,20,1.95E-20
0.2,200,60,6.13E-17
0.2,1900,10,5.71E-15
0.2,2000,40,4.12E-15
0.2,1800,50,2.66E-15
0.2,12500,10,6.77E-14
0.2,15000,20,1.32E-13
0.2,500,10,4.96E-20
0.2,400,50,3.99E-17
0.2,6000,30,3.18E-15
0.2,25000,80,2.29E-14
0.2,1400,40,7.82E-16
0.2,7000,0,6.81E-16
0.2,800,40,6.72E-17
0.2,1000,80,4.43E-16
0.2,1300,30,6.21E-16
0.2,7000,70,9.12E-15
0.2,1200,70,8.08E-16
0.2,10000,10,1.36E-14
0.2,17500,20,1.57E-13
0.25,4000,80,3.14E-15
0.25,300,10,2.59E-21
0.25,200,50,7.84E-18
0.25,9000,70,9.05E-15
0.25,20000,80,2.37E-14
0.25,600,90,8.89E-17
0.25,3000,30,7.00E-15
0.25,12500,20,4.37E-14
