ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
1,2500,30,0
1,27500,0,9.20E-21
1,1300,90,5.71E-21
1,1600,10,0
1,17500,80,2.28E-19
1,20000,0,3.65E-19
1,1700,50,9.73E-21
1,22500,10,1.06E-19
1,25000,20,2.22E-20
1,6000,90,9.90E-20
1,1000,20,0
1,1100,60,6.97E-21
1,2500,0,0
1,2500,60,2.92E-20
1,1200,0,0
1,5000,50,1.20E-19
1,35800,70,3.64E-23
1,15000,80,6.84E-19
1,8000,0,0
1,20000,10,3.24E-19
1,700,40,2.12E-25
1,30000,90,3.87E-22
1,27500,20,5.59E-21
1,300,80,7.40E-22
1,4000,10,0
1,500,40,0
1,15000,70,7.20E-19
1,12500,40,2.20E-18
1,2500,90,1.73E-20
1,35800,80,3.49E-23
1,2000,10,0
1,1900,40,6.49E-21
1,8000,50,4.03E-19
1,900,0,0
1,300,70,1.01E-21
1,200,30,0
1,9000,10,6.78E-21
1,30000,60,4.52E-22
1,3000,50,3.15E-20
1,17500,70,2.39E-19
1,10000,40,1.04E-18
1,1300,60,9.65E-21
1,1200,20,0
1,7000,20,1.00E-20
1,1100,90,4.44E-21
1,900,50,2.84E-21
1,800,10,0
1,1500,50,7.82E-21
1,6000,60,1.38E-19
1,1400,10,0
1,30000,30,8.84E-22
1,27500,80,1.63E-21
1,9000,40,7.98E-19
1,300,20,0
1,200,60,7.67E-22
1,1900,10,0
1,2000,40,7.62E-21
1,1800,50,1.11E-20
1,12500,10,4.60E-18
1,15000,20,2.23E-18
1,500,10,0
1,400,50,6.88E-22
1,6000,30,1.09E-19
1,25000,80,6.54E-21
1,1400,40,1.95E-21
1,7000,0,0
1,800,40,1.20E-23
1,1000,80,4.03E-21
1,1300,30,0
1,7000,70,1.66E-19
1,1200,70,7.06E-21
1,10000,10,1.71E-19
1,17500,20,7.51E-19
0.825,4000,80,7.32E-19
0.825,300,10,0
0.825,200,50,6.32E-21
0.825,9000,70,5.53E-18
0.825,20000,80,3.94E-18
0.825,600,90,3.86E-20
0.825,3000,30,7.98E-21
0.825,12500,20,4.77E-17
0.825,15000,10,5.32E-17
0.825,500,20,0
0.825,400,60,3.13E-20
0.825,1900,20,2.83E-21
0.825,2000,70,3.01E-19
0.825,1800,60,3.13E-19
0.825,8000,30,5.46E-18
0.825,900,30,1.32E-24
0.825,800,70,8.79E-20
0.825,1500,30,5.44E-22
0.825,17500,0,3.12E-17
0.825,22500,80,2.13E-18
0.825,1400,70,1.89E-19
0.825,1000,0,0
0.825,10000,20,1.12E-17
0.825,1600,80,1.71E-19
0.825,17500,10,2.87E-17
0.825,300,0,0
0.825,7000,40,3.93E-18
0.825,1200,40,1.20E-20
0.825,2000,20,3.96E-21
0.825,1900,70,2.79E-19
0.825,1400,0,9.75E-24
0.825,8000,60,4.56E-18
0.825,1800,30,1.68E-21
0.825,500,70,4.25E-20
0.825,15000,40,2.36E-17
0.825,12500,70,1.80E-17
0.825,400,30,0
0.825,700,0,0
0.825,5000,90,1.07E-18
0.825,700,80,5.37E-20
0.825,9000,20,5.41E-18
0.825,30000,50,4.52E-19
0.825,10000,0,1.96E-19
0.825,3000,60,7.31E-19
0.825,300,40,1.83E-27
0.825,1300,50,1.20E-19
0.825,1200,10,2.40E-24
0.825,7000,10,4.10E-24
0.825,1700,90,1.80E-19
0.825,17500,40,1.24E-17
0.825,10000,70,7.59E-18
0.825,1500,60,2.35E-19
0.825,6000,50,3.17E-18
0.825,1400,20,2.37E-22
0.825,900,60,1.00E-19
0.825,800,20,1.07E-25
0.825,1600,20,8.06E-22
0.825,10000,80,7.10E-18
0.825,1700,60,2.87E-19
0.825,1000,10,3.23E-25
0.825,1100,50,8.73E-20
0.825,900,90,7.09E-20
0.825,22500,20,6.74E-18
0.825,25000,10,4.69E-18
0.825,35800,0,4.13E-19
0.825,1500,90,1.49E-19
0.825,2500,50,3.89E-19
0.825,35800,40,1.14E-19
0.825,5000,60,1.67E-18
0.825,500,80,3.21E-20
0.825,12500,80,1.70E-17
0.825,8000,90,3.48E-18
0.825,1900,80,2.21E-19
0.825,4000,20,8.57E-21
0.825,3000,90,4.28E-19
0.825,600,30,6.88E-26
0.825,700,70,7.32E-20
0.825,20000,20,1.24E-17
0.825,27500,10,2.61E-18
0.825,25000,40,1.90E-18
0.825,22500,70,2.24E-18
0.825,1400,80,1.43E-19
0.825,3000,0,1.94E-20
0.825,800,80,6.45E-20
0.825,1000,40,2.84E-21
0.825,1600,70,2.23E-19
0.825,1700,30,1.19E-21
0.825,1800,0,2.12E-21
0.825,600,60,5.49E-20
0.825,27500,40,1.04E-18
0.825,9000,80,5.14E-18
0.825,700,20,0
0.825,20000,70,4.15E-18
0.825,4000,70,8.40E-19
0.825,1800,90,1.96E-19
0.825,2000,80,2.40E-19
0.825,5000,30,3.72E-19
0.825,35800,10,3.58E-19
0.825,400,90,2.29E-20
0.825,22500,0,9.39E-18
0.825,1800,20,1.91E-21
0.825,8000,70,3.85E-18
0.825,1900,60,3.41E-19
0.825,2000,30,3.05E-21
0.825,5000,80,1.11E-18
0.825,400,20,0
0.825,12500,60,1.98E-17
0.825,500,60,4.28E-20
0.825,15000,50,1.87E-17
0.825,3000,70,5.31E-19
0.825,30000,40,5.61E-19
0.825,9000,30,8.95E-18
0.825,700,90,4.89E-20
0.825,200,10,0
0.825,300,50,9.74E-21
0.825,1300,40,1.89E-20
0.825,10000,60,8.60E-18
0.825,17500,50,9.85E-18
0.825,1700,80,1.89E-19
0.825,1400,30,3.61E-22
0.825,6000,40,2.35E-18
0.825,1500,70,2.06E-19
0.825,800,30,5.98E-25
0.825,900,70,1.03E-19
0.825,200,40,0
0.825,800,0,0
0.825,4000,90,7.04E-19
0.825,3000,20,1.21E-20
0.825,600,80,4.11E-20
0.825,20000,90,3.88E-18
0.825,9000,60,6.37E-18
0.825,30000,10,1.45E-18
0.825,400,70,3.16E-20
0.825,500,30,1.29E-27
0.825,12500,30,4.02E-17
0.825,8000,20,1.47E-18
0.825,1800,70,2.59E-19
0.825,2000,60,3.72E-19
0.825,1900,30,2.30E-21
0.825,800,60,8.20E-20
0.825,900,20,4.31E-25
0.825,1400,60,2.10E-19
0.825,22500,90,2.09E-18
0.825,1500,20,4.39E-22
0.825,6000,10,2.09E-23
0.825,1600,90,1.64E-19
0.825,10000,30,1.44E-17
0.825,1200,50,1.06E-19
0.825,25000,0,5.12E-18
0.825,7000,50,4.58E-18
0.825,1300,10,5.41E-24
0.825,1400,90,1.34E-19
0.825,22500,60,2.45E-18
0.825,25000,50,1.52E-18
0.825,1100,10,7.39E-25
0.825,1000,50,7.23E-20
0.825,800,90,5.98E-20
0.825,1700,20,1.24E-21
0.825,1600,60,2.59E-19
0.825,700,30,2.30E-25
0.825,20000,60,4.55E-18
0.825,9000,90,5.02E-18
0.825,27500,50,8.31E-19
0.825,1300,0,4.35E-24
0.825,600,70,5.63E-20
0.825,4000,60,1.19E-18
0.825,2000,90,2.27E-19
0.825,1800,80,2.05E-19
0.825,2500,10,1.21E-20
0.825,400,80,2.45E-20
0.825,5000,20,1.84E-21
0.825,1700,70,2.40E-19
0.825,10000,90,6.95E-18
0.825,1600,30,8.52E-22
0.825,900,80,7.57E-20
0.825,1700,0,1.35E-21
0.825,1100,40,6.54E-21
0.825,400,0,0
0.825,1500,80,1.57E-19
0.825,22500,30,4.84E-18
0.825,2000,0,4.28E-21
0.825,12500,90,1.67E-17
0.825,500,90,3.02E-20
0.825,5000,70,1.25E-18
0.825,35800,50,9.42E-20
0.825,2500,40,2.35E-19
0.825,1900,90,2.13E-19
0.825,8000,80,3.59E-18
0.825,4000,30,2.55E-20
0.825,700,60,6.83E-20
0.825,20000,30,9.00E-18
0.825,600,20,0
0.825,3000,80,4.46E-19
0.825,1300,80,1.27E-19
0.825,4000,0,1.46E-20
0.825,1700,40,6.33E-20
0.825,17500,90,7.26E-18
0.825,6000,80,1.66E-18
0.825,1900,0,3.00E-21
0.825,25000,30,2.61E-18
0.825,12500,0,5.10E-17
0.825,1100,70,1.34E-19
0.825,1000,30,2.48E-23
0.825,15000,90,1.37E-17
0.825,35800,60,8.27E-20
0.825,5000,40,1.38E-18
0.825,2500,70,4.10E-19
0.825,30000,80,3.42E-19
0.825,27500,30,1.43E-18
0.825,700,50,3.90E-20
0.825,600,10,0
0.825,300,90,1.69E-20
0.825,1100,20,2.10E-24
0.825,30000,0,1.60E-18
0.825,1000,60,1.19E-19
0.825,22500,50,2.83E-18
0.825,25000,60,1.32E-18
0.825,1700,10,1.31E-21
0.825,1600,50,1.69E-19
0.825,1200,90,1.08E-19
